gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
ENSG00000155886,5.131816603,-6.776521991,3.170872293,-2.137116025,0.032588556,0.289726695,DOWN
ENSG00000167930,350528.4728,-6.707246845,1.328361701,-5.04926244,4.44E-07,0.000604136,DOWN
ENSG00000276278,6.48581286,-6.636941011,3.167998299,-2.094995131,0.036171425,0.302512786,DOWN
ENSG00000164816,10.29830985,-6.608536204,3.162605812,-2.089585802,0.036655023,0.303952868,DOWN
ENSG00000257803,3.848862452,-6.346245564,3.173684295,-1.999646145,0.045538487,0.3328551,DOWN
ENSG00000186487,15.67606302,6.129026298,2.539417395,2.413556082,0.015797697,0.211819439,UP
ENSG00000172995,16.45239583,6.405045226,2.326706588,2.752837534,0.005908121,0.135147607,UP
ENSG00000214435,25.58829345,6.870121181,1.74750102,3.931397522,8.45E-05,0.013421068,UP
ENSG00000164100,24.8208945,7.809344236,2.573205032,3.034870575,0.002406389,0.086106112,UP
ENSG00000181074,43.59169413,8.181927813,2.214540082,3.69463975,0.000220199,0.022155312,UP
